time,lon,lat,foot,label,age,year,Nest_Distance,Trip_ID,ID
2020-05-21T22:50:08Z,141.54215,40.5451,bird_001,K20C95,21,2020,1494.5773262782975,1,2020_bird_001_1_trip
2020-05-21T22:55:13Z,141.52102,40.54935,bird_001,K20C95,21,2020,3320.7556873072417,1,2020_bird_001_1_trip
2020-05-21T23:00:13Z,141.51988,40.54986,bird_001,K20C95,21,2020,3431.2633353901742,1,2020_bird_001_1_trip
2020-05-21T23:05:10Z,141.5125,40.54499,bird_001,K20C95,21,2020,3886.118273267982,1,2020_bird_001_1_trip
2020-05-21T23:10:07Z,141.51253,40.54501,bird_001,K20C95,21,2020,3884.024932937216,1,2020_bird_001_1_trip
2020-05-21T23:15:06Z,141.51258,40.54497,bird_001,K20C95,21,2020,3879.050320353928,1,2020_bird_001_1_trip
2020-05-21T23:20:10Z,141.51251,40.54498,bird_001,K20C95,21,2020,3885.083164430817,1,2020_bird_001_1_trip
2020-05-21T23:25:09Z,141.51253,40.54498,bird_001,K20C95,21,2020,3883.41722740925,1,2020_bird_001_1_trip
2020-05-21T23:30:11Z,141.51256,40.545,bird_001,K20C95,21,2020,3881.323459393395,1,2020_bird_001_1_trip
2020-05-21T23:35:09Z,141.5126,40.54499,bird_001,K20C95,21,2020,3877.7892079590424,1,2020_bird_001_1_trip
2020-05-21T23:40:09Z,141.51252,40.54498,bird_001,K20C95,21,2020,3884.2501928525658,1,2020_bird_001_1_trip
2020-05-21T23:45:10Z,141.51255,40.54497,bird_001,K20C95,21,2020,3881.5492734684617,1,2020_bird_001_1_trip
2020-05-21T23:50:11Z,141.51288,40.54528,bird_001,K20C95,21,2020,3860.515466495307,1,2020_bird_001_1_trip
2020-05-21T23:55:10Z,141.51283,40.54531,bird_001,K20C95,21,2020,3865.311895475797,1,2020_bird_001_1_trip
2020-05-22T00:00:09Z,141.51289,40.54531,bird_001,K20C95,21,2020,3860.324280248568,1,2020_bird_001_1_trip
2020-05-22T00:05:06Z,141.51288,40.54529,bird_001,K20C95,21,2020,3860.7285141228576,1,2020_bird_001_1_trip
2020-05-22T00:10:07Z,141.51289,40.5453,bird_001,K20C95,21,2020,3860.110571291283,1,2020_bird_001_1_trip
2020-05-22T00:15:06Z,141.51281,40.5453,bird_001,K20C95,21,2020,3866.761148602683,1,2020_bird_001_1_trip
2020-05-22T00:20:13Z,141.50755,40.55749,bird_001,K20C95,21,2020,4730.078073815091,1,2020_bird_001_1_trip
2020-05-22T00:25:07Z,141.50099,40.56044,bird_001,K20C95,21,2020,5373.507752193586,1,2020_bird_001_1_trip
2020-05-22T00:35:09Z,141.50074,40.56054,bird_001,K20C95,21,2020,5397.41319360516,1,2020_bird_001_1_trip
2020-05-22T00:40:07Z,141.50077,40.56057,bird_001,K20C95,21,2020,5396.649412082771,1,2020_bird_001_1_trip
2020-05-22T00:45:09Z,141.50081,40.56057,bird_001,K20C95,21,2020,5393.627184389652,1,2020_bird_001_1_trip
2020-05-22T00:50:09Z,141.50075,40.56055,bird_001,K20C95,21,2020,5397.158250134386,1,2020_bird_001_1_trip
2020-05-22T00:55:06Z,141.50077,40.56058,bird_001,K20C95,21,2020,5397.151044934743,1,2020_bird_001_1_trip
2020-05-22T01:00:08Z,141.50074,40.56051,bird_001,K20C95,21,2020,5395.91165718147,1,2020_bird_001_1_trip
2020-05-22T01:05:07Z,141.50081,40.56051,bird_001,K20C95,21,2020,5390.619520647728,1,2020_bird_001_1_trip
2020-05-22T01:10:09Z,141.50102,40.56079,bird_001,K20C95,21,2020,5388.884371683695,1,2020_bird_001_1_trip
2020-05-22T01:15:08Z,141.50109,40.56074,bird_001,K20C95,21,2020,5381.074740466578,1,2020_bird_001_1_trip
2020-05-22T01:20:10Z,141.47533,40.58638,bird_001,K20C95,21,2020,8757.372276435777,1,2020_bird_001_1_trip
