time,lon,lat,x,y,ID,label,foot,age,year,Nest_Distance,flight_state,step_length,step_angle,step_speed,coast_distance,State,sealand,original_state
2017-05-17T22:51:35Z,141.56671,40.59218,547953.856251983,4493641.09114136,2017_bird_051_7_trip,K17B45,bird_051,14,2017,5998.91106283368,1,2904.98662011433,1.29839480508671,9.68328873371442,5759.720739477803,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T22:56:35Z,141.576162442365,40.6173386782979,548735.428905995,4496438.96380636,2017_bird_051_7_trip,K17B45,bird_051,14,2017,8883.00450957471,1,2823.84880980563,1.30254938534282,9.41282936601876,8078.768679838999,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T23:01:35Z,141.585224314378,40.6418226683413,549483.86597634,4499161.82334229,2017_bird_051_7_trip,K17B45,bird_051,14,2017,11697.8503251427,1,2841.32500328534,1.35962169749161,9.47108334428445,10325.55126125478,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T23:06:35Z,141.592488814,40.666813668394,550079.432074297,4501940.02938167,2017_bird_051_7_trip,K17B45,bird_051,14,2017,14539.9169466421,1,3105.82823259485,1.38666572307362,10.3527607753162,12023.590394754476,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T23:11:35Z,141.599462535832,40.6942840685635,550648.084075791,4504993.35607752,2017_bird_051_7_trip,K17B45,bird_051,14,2017,17646.6464178087,1,3183.51957436155,1.54120706008493,10.6117319145385,13247.049885728586,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T23:16:35Z,141.600834818609,40.7229435013009,550742.268340708,4508175.48212854,2017_bird_051_7_trip,K17B45,bird_051,14,2017,20794.2536984948,1,3057.38923363726,1.67815876421521,10.1912974454575,14035.715373221448,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T23:21:35Z,141.597200541737,40.7503465052211,550414.649820882,4511215.26748797,2017_bird_051_7_trip,K17B45,bird_051,14,2017,23750.4899831849,1,3117.12266379159,1.82492216398987,10.3904088793053,14306.468851076696,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T23:26:35Z,141.588157697169,40.7775718043207,549631.007000166,4514232.27886194,2017_bird_051_7_trip,K17B45,bird_051,14,2017,26661.9936059302,1,3269.90621417115,2.04079581802455,10.8996873805705,13873.191853437203,Fast_Outbound,Sea,Fast_Outbound
2017-05-17T23:31:35Z,141.570833905942,40.8039216907569,548150.112804533,4517147.62430131,2017_bird_051_7_trip,K17B45,bird_051,14,2017,29483.8681273943,0,658.832408185531,2.36916639658181,2.1961080272851,12736.060193344314,Fast_Middle,Sea,Fast_Middle
2017-05-17T23:36:35Z,141.565275166664,40.8080910000002,547678.244150193,4517607.4069838,2017_bird_051_7_trip,K17B45,bird_051,14,2017,29932.6695711664,0,37.9456029977167,-2.56963405032079,0.126485343325722,12320.190775492654,Slow,Sea,Fast_Middle
2017-05-17T23:41:35Z,141.56489533313,40.8079078334461,547646.337876935,4517586.86778923,2017_bird_051_7_trip,K17B45,bird_051,14,2017,29911.6544975484,0,435.161930338788,2.92540100102028,1.45053976779596,12286.19729579797,Slow,Sea,Fast_Middle
2017-05-17T23:46:35Z,141.559863448295,40.8087732758728,547221.305879003,4517680.2150246,2017_bird_051_7_trip,K17B45,bird_051,14,2017,30002.0157523225,1,1332.77504923545,1.52616880098769,4.44258349745148,11875.0113608113,Fast_Middle,Sea,Fast_Middle
2017-05-17T23:51:35Z,141.560669332874,40.8207636670101,547280.764590834,4519011.66310599,2017_bird_051_7_trip,K17B45,bird_051,14,2017,31334.0162320224,1,1578.76530724016,2.44934972751832,5.26255102413387,12085.783611632252,Fast_Middle,Sea,Fast_Middle
2017-05-17T23:56:35Z,141.546332361222,40.829910007694,546065.405212312,4520019.33441966,2017_bird_051_7_trip,K17B45,bird_051,14,2017,32362.6780635142,1,884.694364321566,-1.94612224800745,2.94898121440522,10994.45467524292,Fast_Middle,Sea,Fast_Middle
2017-05-18T00:01:35Z,141.542425843203,40.8225135014836,545741.097684057,4519196.22522558,2017_bird_051_7_trip,K17B45,bird_051,14,2017,31553.3622286951,1,1242.59001061754,-0.20304560151775,4.14196670205846,10578.803297441878,Fast_Middle,Sea,Fast_Middle
2017-05-18T00:06:35Z,141.556839005174,40.8201875668335,546958.161125551,4518945.65285306,2017_bird_051_7_trip,K17B45,bird_051,14,2017,31269.0345060864,0,481.049768450161,-0.180297876353645,1.6034992281672,11758.12676488739,Fast_Middle,Sea,Fast_Middle
2017-05-18T00:11:35Z,141.562444100376,40.8193832805949,547431.413231413,4518859.38974379,2017_bird_051_7_trip,K17B45,bird_051,14,2017,31182.337371385,1,2435.22880588509,1.42005784221479,8.1174293529503,12217.963689882878,Fast_Middle,Sea,Fast_Middle
2017-05-18T00:16:35Z,141.56696502645,40.8410500033031,547797.107361982,4521267.00415226,2017_bird_051_7_trip,K17B45,bird_051,14,2017,33595.0761249931,1,1490.13964089605,1.43682115490682,4.96713213632016,12855.246145871166,Fast_Middle,Sea,Fast_Middle
2017-05-18T00:21:35Z,141.569439837974,40.8543413125024,547996.152372558,4522743.7902685,2017_bird_051_7_trip,K17B45,bird_051,14,2017,35076.0374172134,0,475.348600457514,-0.600740059088717,1.58449533485838,13173.170469149827,Slow,Sea,Fast_Middle
2017-05-18T00:26:35Z,141.574070985712,40.8518978695898,548388.27576125,4522475.09799098,2017_bird_051_7_trip,K17B45,bird_051,14,2017,34818.2522993176,0,339.258551554339,-0.542088749183321,1.13086183851446,13552.372635707448,Slow,Sea,Fast_Middle
2017-05-18T00:31:35Z,141.577504999968,40.8503039656082,548678.895801502,4522300.0655454,2017_bird_051_7_trip,K17B45,bird_051,14,2017,34654.2664165361,0,179.442314804845,-0.631075566411428,0.598141049349483,13834.363326808189,Slow,Sea,Fast_Middle
2017-05-18T00:36:35Z,141.579215410231,40.8493416395076,548823.776337982,4522194.19215643,2017_bird_051_7_trip,K17B45,bird_051,14,2017,34554.8670306777,0,290.878146893748,-0.00667384218775041,0.969593822979161,13974.252887068144,Slow,Sea,Fast_Middle
2017-05-18T00:41:35Z,141.58266581096,40.8493067754034,549114.648007019,4522192.250896,2017_bird_051_7_trip,K17B45,bird_051,14,2017,34567.6466544245,1,892.607029389783,2.94334819549463,2.97535676463261,14264.38704628872,Slow,Sea,Fast_Middle
