id,foot,age,sex,logger,type,year
K19D75,9A94429,14,♀,H124,Harness,2019
K19F45,09214934,20,♂,H132,Harness,2019
K19D46,9A90224,15,♂,H148,Harness,2019
K19F65,9B16224,10,♂,H130,Harness,2019
K19C55,9A71751,18,♀,H141,Harness,2019
K19F61,9A90898,15,♂,H146,Harness,2019
K19F30,9A94062,14,♀,H149,Harness,2019
K19F75,9A89379,15,♂,H150,Harness,2019
K19F51,9A72043,18,♂,H156,Harness,2019
K19D93,9B01515,13,♂,H154,Harness,2019
K19D80,09213836,21,♀,H157,Harness,2019
K19C99,09213692,21,♀,H159,Harness,2019
K19F19,9B19906,9,♀,H158,Harness,2019
K19F81,9A58931,21,♂,H143,Harness,2019
K19F90,9A61521,20,♂,H152,Harness,2019
K19F29,9B04850,12,♀,H155,Harness,2019
K19F36,09234015,20,♂,H144,Harness,2019
K19F38,9A79746,17,♂,AT52,tape,2019
K19F39,9A90858,15,♀,AT25,tape,2019
K19F53,9A72822,18,♂,AT132,tape,2019
K19F94,9B00418,13,♀,AT139,tape,2019
K19F73,9B30208,6,♂,AT134,tape,2019
K19F33,09252374,21,♂,AT110,tape,2019
K19E30,9B01393,13,♀,AT30,tape,2019
K19F37,9A80275,17,♂,AT47,tape,2019
K19F34,9A67395,19,♀,AT111,tape,2019
