id,foot,age,sex,logger,type,year
K21E81,9B19820,11,♂,AT,NA,2021
K21F29,9B04850,14,♀,AT,NA,2021
K21F45,09214934,22,♂,AT,NA,2021
K21F48,9B00498,15,♀,AT,NA,2021
K21F49,9B07922,13,♀,AT,NA,2021
K21F55,09214908,22,♂,AT,NA,2021
K21F60,9A66400,21,♀,AT,NA,2021
K21F62,9B00067,15,♀,AT,NA,2021
K21F68,9B18555,11,♂,AT,NA,2021
K21F69,09083795,22,♂,AT,NA,2021
K21F70,9B19803,11,♂,AT,NA,2021
K21F71,9B19470,11,♀,AT,NA,2021
K21F72,9A89244,17,♀,AT,NA,2021
K21F73,9B30208,8,♀,AT,NA,2021
K21F92,09083730,22,♂,VHF,NA,2021
K21F93,9A90297,17,♀,AT,NA,2021
K21F97,09213836,23,♀,AT,NA,2021
K21G00,9A28573,22,♀,AT,NA,2021
K21G01,9B19843,11,♂,VHF,NA,2021
K21G02,9A89933,17,♂,AT,NA,2021
K21G05,9A89795,17,♂,AT,NA,2021
K21G06,9A79458,19,♂,AT,NA,2021
K21G07,9A66453,21,♂,AT,NA,2021
K21G08,9B19814,11,♂,AT,NA,2021
K21G09,9A66352,21,♂,AT,NA,2021
K21G13,9B19815,11,♂,AT,NA,2021
K21G15,9A90985,17,♀,AT,NA,2021
K21G16,9A94832,16,♀,AT,NA,2021
K21G17,9A14461,22,♀,AT,NA,2021
K21G20,9B15500,12,♀,AT,NA,2021
K21G21,9B01393,15,♀,AT,NA,2021
K21G22,9B25953,9,♂,AT,NA,2021
K21G23,9B22556,10,♂,AT,NA,2021
K21G25,9B07888,13,♀,AT,NA,2021
K21D75,9A94429,16,♀,VHF45267,harness,2021
