id,foot,age,sex,logger,type,year
K16B45,9A86086,13,♂,G,tape,2016
K16B67,9A25408,17,♂,G,tape,2016
K16B87,9A79746,14,♂,G,tape,2016
K16C09,9A66453,16,♂,G,tape,2016
K16C12,9A19438,25,♀,G,tape,2016
K16C20,9A89244,12,♂,G,tape,2016
K16C20P,9A95419,7,♀,G,tape,2016
K16C21,9A90858,12,♂,G,tape,2016
K16C31,9A89737,12,♂,G,tape,2016
K16C33,9A73213,15,♂,G,tape,2016
K16C37,9A67395,16,♀,G,tape,2016
K16C45,9A90898,12,♂,G,tape,2016
K16C52,09252390,18,♂,G,tape,2016
K16C66,9A32983,23,♂,G,tape,2016
K16C67P,09234015,17,♀,G,tape,2016
K16C95,09083730,17,♂,G,tape,2016
K16D06,9A80170,14,♀,G,tape,2016
K16D23,9A72822,15,♂,G,tape,2016
K16D29,9A94062,11,♀,G,tape,2016
K16D30,9A38727,22,♂,G,tape,2016
K16D39,09213964,18,♀,G,tape,2016
K16D54,9A65808,16,♂,G,tape,2016
K16D79,9A89585,12,♂,G,tape,2016
K16E02,9A28573,17,♀,G,tape,2016
K16E15,9A58931,17,♂,G,tape,2016
K16E29,9A56187,17,♂,G,tape,2016
K16E36,9A89647,12,♂,G,tape,2016
K16F19,9B19906,6,♀,G,tape,2016
