id,foot,age,sex,logger,type,year
K14B62,9A80162,12,♂,G,tape,2014
K14B89P,K14B89P,NA,♀,G,tape,2014
K14B95,9A66331,14,♂,G,tape,2014
K14C03,9A20283,23,♀,G,tape,2014
K14C12,9A19438,23,♀,G,tape,2014
K14C12P,K14C12P,NA,♂,G,tape,2014
K14C13,9A79458,12,♂,G,tape,2014
K14C20,9A89244,10,♂,G,tape,2014
K14C33,9A73213,13,♂,G,tape,2014
K14C34,9A66707,14,♀,G,tape,2014
K14C66,9A32983,21,♂,G,tape,2014
K14C96,9A20168,23,♂,G,tape,2014
K14D03,9A79675,12,♀,G,tape,2014
K14D06,9A80170,12,♀,G,tape,2014
K14D31,9B01830,8,♂,G,tape,2014
K14D37P,9A25327,15,♂,G,tape,2014
K14D37PP,K14D37PP,NA,♀,G,tape,2014
