id,foot,age,sex,logger,type,year
K17B24,9A32131,24,♀,AT,tape,2017
K17B45,9A86086,14,♂,AT,tape,2017
K17B56,9A89132,13,♀,AT,tape,2017
K17B67,9A25408,18,♂,AT,tape,2017
K17B87,9A79746,15,♂,AT,tape,2017
K17B94P,9A39570,18,♂,AT,tape,2017
K17C13,9A79458,15,♀,AT,tape,2017
K17C37,9A67395,17,♀,AT,tape,2017
K17C45,9A90898,13,♂,AT,tape,2017
K17C95,09083730,18,♂,AT,tape,2017
K17D04,9A90589,13,♀,AT,tape,2017
K17D29,9A94062,12,♀,AT,tape,2017
K17D79,9A89585,13,♂,AT,tape,2017
K17D93,9B01515,11,♂,AT,tape,2017
K17E02,9A28573,18,♀,AT,tape,2017
K17E36,9A89647,13,♂,AT,tape,2017
K17E81,9B19820,7,♂,AT,tape,2017
K17E88,9B19832,7,NA,AT,tape,2017
K17X2M,9A61768,18,♂,AT,tape,2017
K17B97M,9A89379,13,♂,AT,tape,2017
K17D23M,9A72822,16,♂,AT,tape,2017
