id,foot,age,sex,logger,type,year
K18F29,9B04850,11,♀,AT,tape,2018
K18F30,9A94062,13,♀,AT,tape,2018
K18F31,9A86086,15,♂,AT,tape,2018
K18F33,09252374,20,♂,AT,harness,2018
K18F34,9A67395,18,♀,AT,harness,2018
K18F36,09234015,19,♂,AT,tape,2018
K18F38,9A79746,16,♂,AT,tape,2018
K18F39,9A90858,14,♂,AT,tape,2018
K18F43,9A19631,27,♀,AT,harness,2018
K18F67,9A30170,16,♀,AT,tape,2018
K18F47,9B18222,8,♀,AT,tape,2018
K18F48,9B00478,12,♀,AT,harness,2018
K18F50,9B27371,6,♂,AT,tape,2018
K18F51,9A72043,17,♂,AT,harness,2018
K18F52,9B24573,NA,♀,AT,tape,2018
K18F57,09252390,20,♂,AT,tape,2018
K18F58,9A95321,13,♂,AT,tape,2018
K18F60,9A66400,18,♀,AT,harness,2018
K18F61,9A90898,14,♂,AT,tape,2018
K18F62,9B00067,12,♀,AT,harness,2018
K18F63,9B19928,8,♀,AT,tape,2018
K18F64,9A94547,13,♀,AT,tape,2018
K18F65,9B16224,9,♂,AT,tape,2018
K18F75,9A89379,14,♂,AT,tape,2018
K18F71,9B19470,8,♀,AT,tape,2018
K18F72,9A89244,14,♀,AT,tape,2018
K18F74,9A89647,14,♂,AT,tape,2018
K18F73,9B30208,5,♂,AT,tape,2018
K18E30,9B01393,12,♂,AT,harness,2018
K18E32,9A89933,14,♂,AT,tape,2018
K18E74,9B19813,8,♀,AT,tape,2018
K18F04,9B19894,8,♀,AT,harness,2018
