time,lon,lat,ID,label,foot,age,Nest_Distance,flight_state,step_length,step_angle,step_speed,check_speed,check_dt,Time_diff_in_hours,Distance_in_km,coast_lon,coast_lat,coast_distance,State,sealand,original_state,HomingID,Wx,Wy,direction_to_nest,direction_of_movement,α,nx,ny,wind_back,wind_cross,foot_year
2013-05-18T03:49:07Z,141.936169684065,40.7403824230061,2013_bird_017_2_trip,K13B22,bird_017,14,39084.1172481976,1,2780.65178451194,-2.83924263674167,9.26883928170645,33.3786913784773,300,0.181388888888889,11.3947428980617,141.64594157774837,40.473821843855895,38498.40262877341,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_1,2.203981725437389,-2.924769206075628,235.14331104197447,253.28758084794413,18.144269805969643,-0.8205841381805294,-0.5715257405983722,-0.13697155815198947,-3.6596515062404023,bird_017_2013
2013-05-18T03:54:07Z,141.904632419111,40.7331750905423,2013_bird_017_2_trip,K13B22,bird_017,14,36451.1648413408,1,959.814186457092,-2.16599853441471,3.1993806215236398,11.5215572030416,300,0.0980555555555556,12.2592383380859,141.64594157774837,40.473821843855895,36215.514385907176,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_1,2.1707604882483698,-2.9719779662673123,233.76107081431095,NA,NA,-0.8065588433403886,-0.5911538143574939,0.00605004237472672,-3.6803284535902434,bird_017_2013
2013-05-18T04:49:07Z,141.894708,40.71446,2013_bird_017_2_trip,K13B22,bird_017,14,34566.4016105777,1,959.310298589586,2.49688323819267,3.19770099529862,11.5155285306579,300,0.181388888888889,11.4222301792233,141.64594157774837,40.473821843855895,34055.194857006856,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_2,1.475411371602788,-2.4977334791190784,235.7116800943277,307.5227955422795,71.81111544795178,-0.8262131555540103,-0.5633576320504452,0.18811293321743405,-2.894844516122317,bird_017_2013
2013-05-18T04:54:07Z,141.8857,40.719723,2013_bird_017_2_trip,K13B22,bird_017,14,34278.9787582321,1,1528.49062940781,-2.76246068945088,5.09496876469269,18.3479869068155,300,0.0980555555555556,12.3816476487626,141.64594157774837,40.473821843855895,34058.95679640746,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_2,1.4590406208710218,-2.5585531855244734,234.1818112754961,248.85513031834284,14.673319042846742,-0.8108780814799126,-0.5852151202553265,0.3141999506931987,-2.928527330842845,bird_017_2013
2013-05-18T04:59:07Z,141.868823,40.714755,2013_bird_017_2_trip,K13B22,bird_017,14,32802.133496985,1,2748.07134741224,-2.7894522811593,9.16023782470746,32.9879407644412,300,0.0147222222222222,12.3535098189521,141.6417921732106,40.47609911571981,32773.09232436205,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_2,1.393621793676594,-2.5475680101134603,233.4942802452431,250.39054730634425,16.896267061101142,-0.8037974763137599,-0.5949030316544291,0.39536625186923735,-2.8767985673047556,bird_017_2013
2013-05-18T05:04:07Z,141.83818,40.706443,2013_bird_017_2_trip,K13B22,bird_017,14,30182.3822402489,1,1066.8958707051,-2.60037170365097,3.556319569017,12.8070931836139,300,-0.0686111111111111,9.73966492142672,141.62675058176137,40.48435422622652,30505.90189617788,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_2,1.1834130585917852,-2.67533110280632,231.95743439611596,NA,NA,-0.7875531551641032,-0.6162467263937927,0.7166633459675281,-2.8362398744526303,bird_017_2013
2013-05-18T06:09:07Z,141.826442,40.693192,2013_bird_017_2_trip,K13B22,bird_017,14,28499.5087731201,1,2376.93857263813,-2.36271752409483,7.92312857546045,28.5330048711794,300,-0.151944444444444,8.04844432637469,141.62726925732858,40.48406956724353,28730.184174076585,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.05757474830140353,-1.7082341417667144,233.050391240268,225.91252950876128,-7.137861731506717,-0.7991644932379489,-0.6011123961022034,1.0728524126105743,-1.330551177330321,bird_017_2013
2013-05-18T06:14:07Z,141.806240585545,40.678292747543,2013_bird_017_2_trip,K13B22,bird_017,14,26141.8554582285,1,2819.62656905109,-2.58228164300573,9.39875523017031,33.84719070465,300,-0.235277777777778,5.69975619835897,141.62311985279086,40.486346839107455,26386.487498250095,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.23575152945387484,-1.493972950381586,233.68478247120868,238.47930534536405,4.794522874155348,-0.8057710175035402,-0.592227209229118,1.0747331808343428,-1.064181633991772,bird_017_2013
2013-05-18T06:19:07Z,141.777805960921,40.6650100030667,2013_bird_017_2_trip,K13B22,bird_017,14,23332.3169860516,1,3112.54962279586,-2.76960909056768,10.3751654093195,37.3636394804119,300,-0.318611111111111,2.88225725191804,141.61274634144655,40.492040018767256,23780.46643065914,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.387190632033672,-1.3150862277544493,233.08731966859185,249.1937240233671,16.106404354775293,-0.7995517577824844,-0.6005971916575529,1.0994160456162807,-0.8189338988010703,bird_017_2013
2013-05-18T06:24:07Z,141.74339059744,40.655045222075,2013_bird_017_2_trip,K13B22,bird_017,14,20359.228791069,1,3090.2497966558,-2.74563488186706,10.3008326555193,37.0961132308404,300,-0.401944444444444,0.791310665512177,141.5966673988629,40.50086444723995,21177.179065693363,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.4944089765544647,-1.1929286854671723,230.63325852252115,247.79757606215787,17.164317539636713,-0.7731018857713113,-0.6342818570768379,1.13888153409487,-0.6086607725209378,bird_017_2013
2013-05-18T06:29:07Z,141.709553461584,40.6445207997848,2013_bird_017_2_trip,K13B22,bird_017,14,17429.4592641375,1,3150.90475409334,-2.71903236920444,10.5030158469778,37.8243900883463,300,-0.485277777777778,3.47477029364496,141.58110713184644,40.50940421672965,18552.078830205,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.5884169843183242,-1.0856206038966931,227.61086906533137,246.2512166327664,18.640347567435043,-0.7385832431593996,-0.6741622897523587,1.1664793967332343,-0.40513264498946633,bird_017_2013
2013-05-18T06:34:07Z,141.675450414438,40.6330844764418,2013_bird_017_2_trip,K13B22,bird_017,14,14477.8672074771,1,3254.8526927181,-2.60435853177292,10.849508975727,39.0723676879691,300,0.431388888888889,6.57996903320742,141.56554686483,40.51794398621935,15831.558019371694,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.6862407077781879,-0.9739224606924156,223.5983921723615,239.65855982473045,16.06016765236889,-0.689599221835856,-0.7241912131774191,1.1785371464255032,-0.17464668032433528,bird_017_2013
2013-05-18T06:39:07Z,141.642242,40.618268,2013_bird_017_2_trip,K13B22,bird_017,14,11384.6050027613,1,3150.3316617391,-2.44992367277318,10.5011055391303,37.8177938044713,300,0.348055555555556,9.77357472342856,141.52280128286878,40.55042294941066,12609.651255237512,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.8190612788211259,-0.8228993816482525,219.0386905231802,230.78833090897848,11.749640385798273,-0.6298450363332442,-0.7767208187028171,1.155044762342118,0.11788285612087346,bird_017_2013
2013-05-18T06:44:07Z,141.613393,40.600323,2013_bird_017_2_trip,K13B22,bird_017,14,8323.93164735923,1,3241.05025736434,-2.42577565152322,10.8035008578811,38.9069358504902,300,0.264722222222222,11.0671403759973,141.52399044705436,40.54921974537148,9460.729823633026,Fast_Homing,Sea,Fast_Homing,2013_9A25281_2_trip_3,-0.9882993564712272,-0.6343551463258971,214.5981690213227,NA,NA,-0.5678174401181713,-0.8231545144732226,1.083345913139412,0.45332516161771264,bird_017_2013
2013-05-19T09:25:02Z,141.739418666159,40.6468276668061,2013_bird_017_3_trip,K13B22,bird_017,14,19526.9086927112,0,733.358107644686,-2.31223086472554,2.44452702548229,8.80339849488186,300,-0.417222222222222,0.961874274395406,141.59926077669897,40.499441152325,20239.532328282257,Fast_Homing,Sea,Fast_Homing,2013_9A25281_3_trip_2,-4.824093124035259,1.8422744226296115,232.0755777836225,222.9627148798235,-9.112862903798998,-0.7888221752682305,-0.6146214898659963,2.673050181419377,4.4182182206465725,bird_017_2013
2013-05-19T09:30:02Z,141.733508,40.641993,2013_bird_017_3_trip,K13B22,bird_017,14,18802.9106497889,1,3557.61546482835,-1.97382939513688,11.8587182160945,42.706491270065,300,0.499444444444444,1.65432607160812,141.59822342556453,40.500010470290974,19510.816182155224,Fast_Homing,Sea,Fast_Homing,2013_9A25281_3_trip_2,-4.8043515498495255,1.828933067842898,232.4257803378382,203.56972305158857,-28.85605728624965,-0.7925640990448567,-0.6097886100159747,2.6924940043490766,4.379185542739088,bird_017_2013
2013-05-19T09:35:02Z,141.716692,40.612617,2013_bird_017_3_trip,K13B22,bird_017,14,15779.6766183472,1,2997.47070986267,-1.99559175213101,9.99156903287556,35.9824465417144,300,0.416111111111111,5.01748188416888,141.60548488350554,40.496025244529115,16028.797559712975,Fast_Homing,Sea,Fast_Homing,2013_9A25281_3_trip_2,-4.679465234816096,1.7811788744475594,238.66359819981307,204.80540768671895,-33.858190513094115,-0.8541285909701142,-0.5200618714032085,3.0705418287580484,3.954967249482342,bird_017_2013
2013-05-19T09:40:02Z,141.701832000033,40.5881047500121,2013_bird_017_3_trip,K13B22,bird_017,14,13394.2257982054,1,3499.78709991128,-2.17379601221777,11.6659569997043,42.0124864229987,300,0.332777777777778,7.9910346908323,141.61119031474493,40.49289399571622,13081.783735033188,Fast_Homing,Sea,Fast_Homing,2013_9A25281_3_trip_2,-4.565554165528421,1.7330707386211888,245.81882406793375,215.0058544359919,-30.812969631941883,-0.912254743861462,-0.4096233419890257,3.45504221800236,3.4511595580703367,bird_017_2013
2013-05-19T09:45:02Z,141.678117,40.562278,2013_bird_017_3_trip,K13B22,bird_017,14,10541.0518901048,1,4020.49164005755,-2.59482022555311,13.4016388001918,48.2633620743162,300,0.249444444444444,11.485047161675,141.61170899031214,40.49260933673323,9577.091319795418,Fast_Homing,Sea,Fast_Homing,2013_9A25281_3_trip_2,-4.400403900569408,1.6541278837561049,255.5988426105682,239.11313854520444,-16.48570406536375,-0.9685781373315532,-0.24870945274222936,3.850737772785375,2.6965741505120606,bird_017_2013
2013-05-19T09:50:02Z,141.637372666326,40.5436780002765,2013_bird_017_3_trip,K13B22,bird_017,14,6781.18303025073,1,4022.01823279526,-2.93849346495196,13.4067274426509,48.2819236740937,300,0.166111111111111,15.1752097012998,141.5966673988629,40.50086444723995,5880.3913863895095,Fast_Homing,Sea,Fast_Homing,2013_9A25281_3_trip_2,-4.143640730128492,1.5194587269218078,265.26184566075284,NA,NA,-0.9965826014467676,-0.08260217002956413,4.003969670178137,1.8565398469982304,bird_017_2013
2013-05-21T02:46:52Z,141.848935,40.80758,2013_bird_017_5_trip,K13B22,bird_017,14,38715.3781472352,1,3646.98834503088,-2.1743234438212,12.1566278167696,43.7786880087873,300,0.218888888888889,13.2262334373343,141.42325123600017,40.773160479576845,36080.83659114934,Fast_Homing,Sea,Fast_Homing,2013_9A25281_5_trip_1,3.6700745140665583,-4.3831068042856405,219.60638770584225,215.1342265692706,-4.472161136571657,-0.637509887610723,-0.7704421738187515,1.0372215433880387,-5.621854112880172,bird_017_2013
