id,foot,age,sex,logger,type,year
K22G32,9A71751,21,♀,VHF56098,harness,2022
K22F29,9B04850,15,♀,VHF56074,harness,2022
K22F33,09252374,24,♂,VHF56092,harness,2022
K22F39,9A90858,18,♂,VHF45272,harness,2022
K22F43,9B01515,16,♂,VHF45268,harness,2022
K22F48,9B00478,16,♀,VHF56091,harness,2022
K22F49,9B07922,14,♀,VHF56075,harness,2022
K22F50,9B27371,10,♂,VHF56084,harness,2022
K22F51,9A72043,21,♂,VHF56083,harness,2022
K22F55,09214908,23,♂,VHF56089,harness,2022
K22F68,9B18555,12,♂,VHF45264,harness,2022
K22F73,9B30208,9,♂,VHF56077,harness,2022
K22G24,9A61521,22,♂,VHF45273,harness,2022
K22F92,09083730,23,♂,VHF56079,harness,2022
K22G04,9B15746,13,♂,VHF56087,harness,2022
K22G05,9A89795,18,♂,VHF56099,harness,2022
K22G06,9A79458,20,♀,VHF56082,harness,2022
K22G07,9A66453,22,♂,VHF56094,harness,2022
K22G13,9B19815,12,♂,VHF56076,harness,2022
K22G17,9A14461,23,♀,VHF56096,harness,2022
K22G20,9B15500,13,♀,VHF56081,harness,2022
K22G22,9B25953,10,♂,VHF56078,harness,2022
K22G23,9B22556,11,♂,VHF56088,harness,2022
K22G25,9B07888,14,♀,VHF56095,harness,2022
K22G31,9A14458,23,♂,VHF56086,harness,2022
K22G30,9B15805,13,♂,VHF56085,harness,2022
K22G38,9B14746,13,♀,VHF45265,harness,2022
K22G00,9A28573,23,♀,VHF45278,harness,2022
