id,foot,age,sex,logger,type,year
K15B24,9A32131,22,♀,G,tape,2015
K15B28,9A67016,15,♂,G,tape,2015
K15B62,9A80162,13,♂,G,tape,2015
K15B76,9A43990,20,♀,G,tape,2015
K15B87,9A79746,13,♂,G,tape,2015
K15B87P,K15B87P,NA,♂,G,tape,2015
K15C03P,K15C03P,NA,♂,G,tape,2015
K15C12,9A19438,24,♀,G,tape,2015
K15C12P,K15C12P,NA,♂,G,tape,2015
K15C20,9A89294,11,♂,G,tape,2015
K15C20P,K15C20P,NA,♀,G,tape,2015
K15C21,9A90858,11,♂,G,tape,2015
K15C33,9A73213,14,♂,G,tape,2015
K15C37,9A67395,15,♀,G,tape,2015
K15C66P,9A10825,25,♀,G,tape,2015
K15C95,09083730,16,♂,G,tape,2015
K15D29,9A94062,10,♀,G,tape,2015
K15D31,9B01830,9,♂,G,tape,2015
K15D66,09214929,16,♂,G,tape,2015
K15E36,9A89647,11,♂,G,tape,2015
